student_id,age,gender,category,state,preferred_stream,entrance_exam,entrance_score,board_percentage,extracurricular_score,admission_probability,admission_status,scholarship_eligibility,Unique_ID,performance_tier
250.99,18,female,sc,rajasthan,pharmacy,none,0,54.19,4,0.103,rejected,no,44,Below Average (<60%)
250.99,17,female,st,punjab,engineering,jee,85,64.44,1,0.18,rejected,no,45,Average (60-75%)
250.99,20,other,st,assam,computer applications,cet,135,89.05,8,0.519,rejected,no,46,High (75-90%)
250.99,18,other,st,chhattisgarh,commerce,none,0,53.44,10,0.206,admitted,yes,47,Below Average (<60%)
250.99,20,male,obc,rajasthan,science,cet,176,97.41,0,0.462,admitted,yes,48,Elite (90%+)
250.99,19,male,ews,madhya pradesh,management,none,0,77.64,8,0.345,rejected,no,49,High (75-90%)
250.99,20,female,st,himachal pradesh,management,cet,115,56.1,3,0.176,rejected,no,50,Below Average (<60%)
250.99,20,male,ews,maharashtra,computer applications,none,0,59.84,3,0.125,rejected,no,51,Below Average (<60%)
250.99,17,male,sc,jharkhand,engineering,jee,65,60.29,2,0.154,rejected,no,52,Average (60-75%)
250.99,18,male,sc,assam,arts,cet,140,59.31,4,0.234,rejected,no,53,Below Average (<60%)
250.99,18,other,ews,mizoram,commerce,none,0,75.95,1,0.206,rejected,no,54,High (75-90%)
250.99,18,female,st,odisha,pharmacy,cet,23,90.45,1,0.327,admitted,yes,55,Elite (90%+)
250.99,17,male,st,assam,nursing,cet,37,58.14,6,0.192,rejected,no,56,Below Average (<60%)
250.99,19,other,ews,gujarat,medical,neet,191,52.52,9,0.31,rejected,no,57,Below Average (<60%)
250.99,17,female,obc,mizoram,architecture,cet,61,51.71,3,0.108,rejected,no,58,Below Average (<60%)
250.99,19,other,general,punjab,law,none,0,56.26,9,0.208,admitted,yes,59,Below Average (<60%)
250.99,19,male,general,telangana,law,cet,107,60.08,4,0.217,admitted,no,60,Average (60-75%)
250.99,20,other,sc,meghalaya,nursing,cet,123,70.49,4,0.304,admitted,no,61,Average (60-75%)
250.99,19,male,ews,assam,management,none,0,87.12,7,0.396,admitted,yes,62,High (75-90%)
250.99,18,female,ews,jharkhand,medical,neet,5,51.22,8,0.157,rejected,no,63,Below Average (<60%)
250.99,20,female,general,gujarat,law,none,0,64.14,0,0.102,rejected,no,64,Average (60-75%)
250.99,18,male,general,uttar pradesh,management,none,0,51.28,1,0.04199,rejected,no,65,Below Average (<60%)
250.99,18,female,st,andhra pradesh,medical,neet,629,99.53,8,0.7310099999999984,admitted,yes,66,Elite (90%+)
250.99,20,male,obc,jharkhand,pharmacy,cet,39,84.68,4,0.35,admitted,no,67,High (75-90%)
250.99,18,female,sc,maharashtra,law,cet,186,59.95,4,0.27,rejected,no,68,Below Average (<60%)
250.99,17,other,general,haryana,engineering,jee,76,55.1,8,0.233,admitted,yes,69,Below Average (<60%)
250.99,18,male,general,punjab,nursing,none,0,64.15,2,0.139,admitted,no,70,Average (60-75%)
250.99,20,female,sc,bihar,arts,none,0,86.82,8,0.412,admitted,yes,71,High (75-90%)
250.99,17,other,st,tripura,commerce,cet,199,99.53,8,0.641,admitted,yes,72,Elite (90%+)
250.99,18,male,ews,karnataka,medical,neet,401,63.3,10,0.548,rejected,no,73,Average (60-75%)
250.99,17,male,sc,jharkhand,engineering,jee,253,90.59,2,0.501,rejected,no,74,Elite (90%+)
250.99,19,male,st,tripura,science,cet,145,91.55,6,0.508,rejected,no,75,Elite (90%+)
250.99,18,female,ews,bihar,management,cet,100,83.83,6,0.421,admitted,no,76,High (75-90%)
250.99,18,male,sc,madhya pradesh,commerce,none,0,75.69,4,0.259,rejected,no,77,High (75-90%)
250.99,17,other,obc,andhra pradesh,law,cet,196,96.42,2,0.505,admitted,yes,78,Elite (90%+)
250.99,19,male,ews,maharashtra,architecture,cet,88,82.84,4,0.37,rejected,no,79,High (75-90%)
250.99,19,female,general,himachal pradesh,arts,none,0,76.03,6,0.297,rejected,no,80,High (75-90%)
250.99,20,male,obc,punjab,arts,cet,39,80.53,5,0.338,admitted,no,81,High (75-90%)
250.99,18,male,general,maharashtra,law,none,0,88.63,4,0.353,rejected,no,82,High (75-90%)
250.99,17,male,st,mizoram,agriculture,cet,100,56.57,6,0.224,admitted,no,83,Below Average (<60%)
250.99,20,female,obc,telangana,nursing,cet,139,91.65,9,0.559,admitted,yes,84,Elite (90%+)
250.99,19,male,obc,tripura,commerce,cet,146,92.43,7,0.533,admitted,yes,85,Elite (90%+)
250.99,19,male,st,goa,commerce,cet,45,67.61,4,0.23,rejected,no,86,Average (60-75%)
250.99,17,female,obc,maharashtra,arts,none,0,53.23,7,0.15,admitted,no,87,Below Average (<60%)
250.99,18,female,obc,rajasthan,science,none,0,88.95,7,0.409,admitted,yes,88,High (75-90%)
250.99,20,male,sc,bihar,pharmacy,cet,150,93.76,3,0.473,admitted,yes,89,Elite (90%+)
250.99,20,female,general,madhya pradesh,pharmacy,none,0,78.93,10,0.391,rejected,no,90,High (75-90%)
250.99,18,female,ews,manipur,law,none,0,87.4,1,0.289,admitted,yes,91,High (75-90%)
250.99,20,other,ews,tamil nadu,law,none,0,88.2,0,0.277,rejected,no,92,High (75-90%)
250.99,20,female,st,assam,agriculture,none,0,64.5,5,0.196,rejected,no,93,Average (60-75%)
250.99,18,other,general,tamil nadu,medical,neet,430,55.66,0,0.33,admitted,no,94,Below Average (<60%)
250.99,20,male,sc,gujarat,computer applications,none,0,93.93,7,0.446,rejected,no,95,Elite (90%+)
250.99,18,male,obc,tamil nadu,pharmacy,cet,45,62.52,6,0.23,rejected,no,96,Average (60-75%)
250.99,17,female,general,nagaland,computer applications,cet,51,71.69,3,0.246,rejected,no,97,Average (60-75%)
250.99,19,male,ews,karnataka,pharmacy,cet,157,93.76,2,0.459,admitted,yes,98,Elite (90%+)
250.99,19,other,sc,bihar,computer applications,none,0,66.03,10,0.297,admitted,yes,99,Average (60-75%)
250.99,17,female,st,jharkhand,architecture,none,0,70.82,0,0.151,rejected,no,100,Average (60-75%)
250.99,20,female,st,punjab,management,none,0,51.44,4,0.083,rejected,no,101,Below Average (<60%)
250.99,17,female,obc,goa,arts,cet,92,53.82,10,0.271,rejected,no,102,Below Average (<60%)
250.99,20,male,obc,nagaland,agriculture,cet,105,83.0,8,0.455,rejected,no,103,High (75-90%)
250.99,17,female,ews,goa,commerce,none,0,97.26,3,0.397,admitted,yes,104,Elite (90%+)
250.99,20,other,ews,assam,management,none,0,56.08,5,0.134,rejected,no,105,Below Average (<60%)
250.99,20,female,sc,mizoram,commerce,none,0,95.49,10,0.511,admitted,yes,106,Elite (90%+)
250.99,20,female,sc,sikkim,computer applications,none,0,55.68,2,0.077,rejected,no,107,Below Average (<60%)
250.99,19,female,general,uttar pradesh,agriculture,cet,95,94.12,2,0.42,admitted,yes,108,Elite (90%+)
250.99,18,female,obc,maharashtra,science,cet,119,94.43,1,0.42,rejected,no,109,Elite (90%+)
250.99,19,other,general,meghalaya,architecture,cet,191,51.53,10,0.321,admitted,yes,110,Below Average (<60%)
250.99,18,other,ews,nagaland,pharmacy,none,0,67.32,9,0.289,rejected,no,111,Average (60-75%)
250.99,20,female,ews,karnataka,arts,none,0,60.75,0,0.078,rejected,no,112,Average (60-75%)
250.99,19,other,general,andhra pradesh,commerce,none,0,99.17,10,0.538,rejected,no,113,Elite (90%+)
250.99,18,male,obc,gujarat,architecture,cet,132,64.77,6,0.305,rejected,no,114,Average (60-75%)
250.99,19,male,obc,jharkhand,computer applications,none,0,77.43,6,0.308,rejected,no,115,High (75-90%)
250.99,19,male,ews,mizoram,arts,none,0,71.19,8,0.299,rejected,no,116,Average (60-75%)
250.99,17,other,sc,haryana,arts,cet,51,76.28,4,0.297,rejected,no,117,High (75-90%)
250.99,17,female,general,goa,agriculture,cet,102,83.75,7,0.44,admitted,no,118,High (75-90%)
250.99,17,female,sc,telangana,computer applications,none,0,67.97,8,0.275,admitted,yes,119,Average (60-75%)
250.99,17,male,general,assam,management,none,0,94.81,8,0.47,admitted,yes,120,Elite (90%+)
250.99,18,female,st,rajasthan,architecture,cet,164,61.55,1,0.212,rejected,no,121,Average (60-75%)
250.99,19,male,ews,assam,medical,neet,634,93.19,9,0.7310099999999984,admitted,yes,122,Elite (90%+)
250.99,19,female,general,himachal pradesh,medical,neet,525,78.2,5,0.649,rejected,no,123,High (75-90%)
250.99,18,female,ews,tamil nadu,engineering,jee,141,96.28,3,0.485,admitted,yes,124,Elite (90%+)
250.99,20,other,st,sikkim,commerce,cet,109,91.92,3,0.432,admitted,yes,125,Elite (90%+)
250.99,19,other,general,jharkhand,engineering,jee,230,87.77,6,0.538,admitted,yes,126,High (75-90%)
250.99,17,male,obc,andhra pradesh,law,none,0,66.86,8,0.267,rejected,no,127,Average (60-75%)
250.99,20,other,general,tripura,engineering,jee,212,60.95,7,0.349,rejected,no,128,Average (60-75%)
250.99,19,female,ews,telangana,nursing,cet,109,95.24,5,0.492,rejected,no,129,Elite (90%+)
250.99,19,female,st,madhya pradesh,law,cet,71,57.43,9,0.265,rejected,no,130,Below Average (<60%)
250.99,19,female,obc,andhra pradesh,engineering,cet,136,51.43,10,0.283,rejected,no,131,Below Average (<60%)
250.99,19,male,sc,nagaland,science,none,0,91.9,0,0.304,rejected,no,132,Elite (90%+)
250.99,17,male,obc,rajasthan,science,none,0,90.94,6,0.406,admitted,yes,133,Elite (90%+)
250.99,19,female,sc,sikkim,management,none,0,95.87,0,0.333,admitted,yes,134,Elite (90%+)
250.99,20,other,st,punjab,computer applications,none,0,87.2,6,0.379,admitted,yes,135,High (75-90%)
250.99,18,female,general,tamil nadu,law,none,0,91.91,10,0.485,admitted,yes,136,Elite (90%+)
250.99,19,female,st,maharashtra,management,none,0,56.46,10,0.228,rejected,no,137,Below Average (<60%)
250.99,17,other,ews,chhattisgarh,medical,neet,453,80.42,1,0.544,admitted,no,138,High (75-90%)
250.99,18,other,ews,nagaland,commerce,none,0,95.76,3,0.386,rejected,no,139,Elite (90%+)
250.99,18,female,general,goa,engineering,cet,131,95.22,2,0.452,admitted,yes,140,Elite (90%+)
250.99,20,male,sc,mizoram,arts,none,0,94.93,2,0.362,rejected,no,141,Elite (90%+)
250.99,17,other,obc,bihar,engineering,jee,43,85.59,3,0.341,rejected,no,142,High (75-90%)
250.99,18,other,st,arunachal pradesh,computer applications,none,0,68.23,3,0.186,rejected,no,143,Average (60-75%)
250.99,18,other,obc,kerala,pharmacy,cet,195,59.68,4,0.274,rejected,no,144,Below Average (<60%)
250.99,20,other,obc,meghalaya,computer applications,none,0,53.96,7,0.155,rejected,no,145,Below Average (<60%)
250.99,20,female,general,chhattisgarh,architecture,cet,157,54.84,8,0.286,admitted,yes,146,Below Average (<60%)
250.99,17,male,sc,rajasthan,engineering,jee,232,57.89,4,0.286,admitted,no,147,Below Average (<60%)
250.99,17,male,sc,mizoram,arts,none,0,78.14,10,0.385,rejected,no,148,High (75-90%)
250.99,20,other,sc,rajasthan,engineering,jee,100,51.48,1,0.096,rejected,no,149,Below Average (<60%)
250.99,17,female,obc,jharkhand,engineering,cet,4,58.8,5,0.157,admitted,no,150,Below Average (<60%)
250.99,20,female,st,nagaland,nursing,cet,197,67.88,9,0.425,admitted,yes,151,Average (60-75%)
250.99,18,female,st,uttar pradesh,nursing,cet,103,82.17,6,0.411,admitted,no,152,High (75-90%)
250.99,20,other,general,chhattisgarh,medical,neet,312,92.65,6,0.628,rejected,no,153,Elite (90%+)
250.99,18,female,obc,sikkim,arts,none,0,70.4,4,0.22,rejected,no,154,Average (60-75%)
250.99,18,male,st,mizoram,commerce,cet,34,67.56,7,0.277,rejected,no,155,Average (60-75%)
250.99,19,other,general,odisha,law,none,0,75.94,6,0.297,admitted,no,156,High (75-90%)
250.99,17,female,obc,mizoram,architecture,none,0,79.81,10,0.398,rejected,no,157,High (75-90%)
250.99,19,male,ews,nagaland,arts,none,0,67.92,0,0.13,rejected,no,158,Average (60-75%)
250.99,19,male,sc,rajasthan,computer applications,none,0,82.29,0,0.234,rejected,no,159,High (75-90%)
250.99,20,female,sc,arunachal pradesh,engineering,jee,279,69.99,5,0.423,admitted,no,160,Average (60-75%)
250.99,20,other,st,andhra pradesh,architecture,cet,103,59.78,7,0.267,rejected,no,161,Below Average (<60%)
250.99,19,male,obc,assam,management,none,0,92.35,10,0.489,admitted,yes,162,Elite (90%+)
250.99,18,male,ews,tripura,pharmacy,cet,51,60.35,9,0.272,admitted,yes,163,Average (60-75%)
250.99,18,male,general,kerala,architecture,cet,59,89.52,8,0.471,rejected,no,164,High (75-90%)
250.99,18,male,sc,uttar pradesh,architecture,cet,58,79.32,2,0.288,admitted,no,165,High (75-90%)
250.99,20,female,sc,telangana,medical,neet,430,87.78,4,0.636,admitted,yes,166,High (75-90%)
250.99,18,male,obc,himachal pradesh,computer applications,none,0,50.44,0,0.04199,rejected,no,167,Below Average (<60%)
250.99,17,other,st,assam,commerce,cet,160,60.83,8,0.331,admitted,yes,168,Average (60-75%)
250.99,18,female,general,sikkim,science,none,0,72.08,1,0.178,admitted,no,169,Average (60-75%)
250.99,17,female,st,karnataka,pharmacy,none,0,93.36,2,0.351,rejected,no,170,Elite (90%+)
250.99,17,male,st,haryana,architecture,none,0,55.09,6,0.145,rejected,no,171,Below Average (<60%)
250.99,17,male,st,rajasthan,arts,none,0,78.32,7,0.332,admitted,no,172,High (75-90%)
250.99,20,female,obc,madhya pradesh,engineering,jee,142,92.03,8,0.546,admitted,yes,173,Elite (90%+)
250.99,19,male,general,himachal pradesh,nursing,cet,176,50.79,2,0.16,rejected,no,174,Below Average (<60%)
250.99,19,female,sc,karnataka,computer applications,cet,139,51.85,6,0.215,rejected,no,175,Below Average (<60%)
250.99,18,female,ews,tripura,law,none,0,69.83,8,0.289,admitted,yes,176,Average (60-75%)
250.99,19,female,st,haryana,arts,none,0,54.59,7,0.16,rejected,no,177,Below Average (<60%)
250.99,17,female,obc,tripura,agriculture,cet,97,54.28,2,0.132,rejected,no,178,Below Average (<60%)
250.99,20,other,sc,meghalaya,arts,none,0,60.67,9,0.24,rejected,no,179,Average (60-75%)
250.99,19,other,obc,arunachal pradesh,science,none,0,73.88,3,0.227,admitted,no,180,Average (60-75%)
250.99,20,male,st,assam,commerce,cet,176,66.66,4,0.312,admitted,no,181,Average (60-75%)
250.99,17,female,sc,mizoram,pharmacy,cet,12,98.62,3,0.415,admitted,yes,182,Elite (90%+)
250.99,18,other,sc,bihar,management,cet,35,72.37,10,0.367,rejected,no,183,Average (60-75%)
250.99,19,other,general,bihar,commerce,cet,69,78.79,9,0.418,admitted,yes,184,High (75-90%)
250.99,18,male,st,madhya pradesh,science,cet,17,68.79,7,0.275,rejected,no,185,Average (60-75%)
250.99,18,other,sc,kerala,nursing,cet,161,55.2,8,0.291,rejected,no,186,Below Average (<60%)
250.99,17,other,general,tripura,medical,neet,425,70.97,10,0.619,admitted,yes,187,Average (60-75%)
250.99,18,female,general,telangana,pharmacy,cet,95,72.54,7,0.354,rejected,no,188,Average (60-75%)
250.99,17,other,st,tripura,science,none,0,97.58,1,0.363,admitted,yes,189,Elite (90%+)
250.99,18,female,st,arunachal pradesh,architecture,cet,85,94.68,2,0.418,admitted,yes,190,Elite (90%+)
250.99,19,other,sc,rajasthan,arts,none,0,50.44,5,0.092,rejected,no,191,Below Average (<60%)
250.99,19,other,st,tripura,engineering,jee,215,63.83,5,0.335,rejected,no,192,Average (60-75%)
250.99,19,other,st,meghalaya,science,none,0,78.82,2,0.245,rejected,no,193,High (75-90%)
250.99,18,other,st,uttar pradesh,law,none,0,85.33,8,0.401,rejected,no,194,High (75-90%)
250.99,20,other,obc,rajasthan,medical,neet,525,72.36,7,0.642,rejected,no,195,Average (60-75%)
250.99,17,female,sc,nagaland,pharmacy,cet,75,85.6,6,0.417,rejected,no,196,High (75-90%)
250.99,18,female,ews,karnataka,computer applications,none,0,85.94,6,0.369,admitted,yes,197,High (75-90%)
250.99,17,female,obc,jharkhand,commerce,none,0,85.54,2,0.294,admitted,yes,198,High (75-90%)
250.99,18,other,st,karnataka,nursing,none,0,62.6,0,0.091,rejected,no,199,Average (60-75%)
250.99,20,female,ews,gujarat,management,none,0,50.45,2,0.04199,rejected,no,200,Below Average (<60%)
250.99,18,male,sc,meghalaya,medical,neet,396,59.69,1,0.355,rejected,no,201,Below Average (<60%)
250.99,20,other,sc,kerala,law,none,0,67.58,7,0.254,rejected,no,202,Average (60-75%)
250.99,18,other,general,haryana,pharmacy,none,0,72.4,3,0.217,admitted,no,203,Average (60-75%)
250.99,19,other,sc,chhattisgarh,pharmacy,cet,6,54.47,7,0.163,rejected,no,204,Below Average (<60%)
250.99,18,male,general,maharashtra,law,none,0,84.74,9,0.415,rejected,no,205,High (75-90%)
250.99,18,other,general,andhra pradesh,arts,cet,155,57.18,0,0.156,rejected,no,206,Below Average (<60%)
250.99,20,other,sc,jharkhand,pharmacy,cet,135,64.37,9,0.358,rejected,no,207,Average (60-75%)
250.99,20,male,obc,arunachal pradesh,management,cet,55,66.14,1,0.172,rejected,no,208,Average (60-75%)
250.99,18,male,obc,himachal pradesh,agriculture,cet,59,79.39,7,0.38,rejected,no,209,High (75-90%)
250.99,20,male,obc,nagaland,medical,neet,51,86.7,3,0.355,rejected,no,210,High (75-90%)
250.99,18,other,sc,mizoram,medical,neet,351,65.46,5,0.439,admitted,no,211,Average (60-75%)
250.99,19,other,st,andhra pradesh,pharmacy,cet,172,91.9,4,0.492,rejected,no,212,Elite (90%+)
250.99,20,female,sc,odisha,law,none,0,67.76,5,0.219,admitted,no,213,Average (60-75%)
250.99,18,female,ews,haryana,agriculture,none,0,90.33,0,0.292,rejected,no,214,Elite (90%+)
250.99,19,female,sc,madhya pradesh,pharmacy,none,0,57.97,1,0.076,rejected,no,215,Below Average (<60%)
250.99,18,other,ews,nagaland,science,cet,182,67.94,4,0.325,rejected,no,216,Average (60-75%)
250.99,17,male,ews,andhra pradesh,agriculture,cet,127,79.15,3,0.351,admitted,no,217,High (75-90%)
250.99,17,male,sc,chhattisgarh,agriculture,none,0,75.2,9,0.346,rejected,no,218,High (75-90%)
250.99,18,male,st,chhattisgarh,engineering,jee,66,68.07,9,0.339,rejected,no,219,Average (60-75%)
250.99,20,other,sc,himachal pradesh,agriculture,cet,33,60.6,9,0.262,rejected,no,220,Average (60-75%)
250.99,17,female,ews,andhra pradesh,arts,none,0,75.21,10,0.364,admitted,yes,221,High (75-90%)
250.99,18,other,st,andhra pradesh,science,none,0,54.62,3,0.088,rejected,no,222,Below Average (<60%)
250.99,19,other,obc,maharashtra,medical,neet,251,69.78,2,0.348,rejected,no,223,Average (60-75%)
250.99,17,male,obc,assam,engineering,jee,57,53.53,8,0.209,admitted,yes,224,Below Average (<60%)
250.99,19,other,ews,kerala,engineering,cet,31,71.64,10,0.359,admitted,yes,225,Average (60-75%)
250.99,18,male,sc,goa,computer applications,none,0,98.14,8,0.494,rejected,no,226,Elite (90%+)
250.99,20,other,st,uttar pradesh,agriculture,none,0,74.27,1,0.194,rejected,no,227,Average (60-75%)
250.99,19,other,st,bihar,nursing,none,0,79.36,7,0.34,rejected,no,228,High (75-90%)
250.99,19,other,general,madhya pradesh,pharmacy,none,0,75.1,5,0.273,rejected,no,229,High (75-90%)
250.99,17,male,obc,madhya pradesh,commerce,none,0,60.89,9,0.242,rejected,no,230,Average (60-75%)
250.99,18,other,ews,punjab,agriculture,cet,32,55.41,2,0.097,rejected,no,231,Below Average (<60%)
250.99,20,other,obc,bihar,agriculture,none,0,66.68,9,0.284,admitted,yes,232,Average (60-75%)
250.99,17,male,ews,uttar pradesh,arts,none,0,75.72,5,0.277,rejected,no,233,High (75-90%)
250.99,20,female,obc,haryana,science,none,0,84.85,6,0.362,rejected,no,234,High (75-90%)
250.99,18,other,ews,andhra pradesh,agriculture,cet,7,82.37,4,0.312,admitted,no,235,High (75-90%)
250.99,19,female,sc,odisha,arts,none,0,76.39,7,0.318,rejected,no,236,High (75-90%)
250.99,19,female,general,manipur,pharmacy,cet,1,67.77,9,0.293,rejected,no,237,Average (60-75%)
250.99,18,male,obc,nagaland,agriculture,cet,82,62.98,0,0.149,rejected,no,238,Average (60-75%)
250.99,18,female,ews,telangana,medical,neet,634,87.16,1,0.722,admitted,yes,239,High (75-90%)
250.99,19,other,obc,jharkhand,commerce,none,0,94.53,1,0.341,admitted,yes,240,Elite (90%+)
250.99,17,female,obc,telangana,science,none,0,81.59,6,0.338,admitted,no,241,High (75-90%)
250.99,19,other,general,tripura,computer applications,none,0,55.02,0,0.04199,rejected,no,242,Below Average (<60%)
250.99,17,other,st,manipur,medical,neet,71,89.75,0,0.336,rejected,no,243,High (75-90%)
250.99,19,other,ews,rajasthan,medical,neet,585,79.51,3,0.662,rejected,no,244,High (75-90%)
250.99,19,female,ews,andhra pradesh,commerce,cet,59,82.69,7,0.404,rejected,no,245,High (75-90%)
250.99,17,other,ews,meghalaya,arts,cet,142,84.59,2,0.383,admitted,no,246,High (75-90%)
250.99,20,male,ews,assam,management,none,0,73.11,8,0.313,rejected,no,247,Average (60-75%)
250.99,18,female,ews,kerala,nursing,cet,169,75.51,10,0.48,admitted,yes,248,High (75-90%)
250.99,20,male,sc,punjab,architecture,none,0,65.6,5,0.204,rejected,no,249,Average (60-75%)
250.99,17,other,ews,arunachal pradesh,science,cet,118,81.3,3,0.361,admitted,no,250,High (75-90%)
251.0,17,other,st,karnataka,architecture,cet,8,74.72,6,0.293,admitted,no,251,Average (60-75%)
252.0,18,female,general,karnataka,management,cet,20,67.13,1,0.156,rejected,no,252,Average (60-75%)
253.0,17,female,general,gujarat,medical,neet,455,61.52,5,0.48,rejected,no,253,Average (60-75%)
254.0,18,female,general,manipur,nursing,none,0,81.39,4,0.3,rejected,no,254,High (75-90%)
255.0,19,other,obc,sikkim,pharmacy,cet,112,72.43,0,0.238,rejected,no,255,Average (60-75%)
256.0,17,male,sc,uttar pradesh,computer applications,none,0,60.18,5,0.164,rejected,no,256,Average (60-75%)
257.0,19,other,st,telangana,engineering,cet,77,88.96,6,0.443,rejected,no,257,High (75-90%)
258.0,17,male,sc,tripura,nursing,none,0,77.01,9,0.359,rejected,no,258,High (75-90%)
259.0,17,male,obc,goa,nursing,cet,116,81.6,1,0.325,rejected,no,259,High (75-90%)
260.0,19,other,st,assam,nursing,cet,78,78.13,5,0.347,rejected,no,260,High (75-90%)
261.0,20,other,ews,chhattisgarh,pharmacy,cet,16,81.28,2,0.274,rejected,no,261,High (75-90%)
262.0,17,female,obc,uttar pradesh,medical,neet,360,54.45,1,0.292,rejected,no,262,Below Average (<60%)
263.0,18,female,obc,goa,law,none,0,64.29,9,0.267,rejected,no,263,Average (60-75%)
264.0,20,other,ews,punjab,architecture,cet,25,88.67,3,0.352,rejected,no,264,High (75-90%)
265.0,20,other,ews,karnataka,law,none,0,89.91,8,0.435,rejected,no,265,High (75-90%)
266.0,19,other,obc,nagaland,law,cet,68,52.54,10,0.245,rejected,no,266,Below Average (<60%)
267.0,18,other,sc,punjab,arts,none,0,86.65,10,0.447,admitted,yes,267,High (75-90%)
268.0,18,female,sc,telangana,management,cet,99,61.36,10,0.33,rejected,no,268,Average (60-75%)
